Study ID,Journal ID,Volume #,Issue #,Year,Title,Author #1,Design,text ,NW,CC,ADVCL,DOBJ,SCONJ,IC,Binary_design
1,JLD,56,5,2023,Compounding Effects of Domain-General Cognitive Weaknesses and Word Reading Difficulties on Anxiety Symptoms in Youth,Nina Anderson,EXP,"This study examined whether domain-general cognitive weaknesses in processing speed (PS) or executive functioning (EF) moderate the relation between word reading scores and anxiety such that lower word reading scores in combination with lower cognitive scores are associated with higher anxiety symptoms. The sample consisted of 755 youth ages 8Ð16 who were recruited as part of the Colorado Learning Disabilities Research Center twins study. Lower scores on PS (R2Ê= .007,ÊpÊ= .014), EF (R2Ê= .009,ÊpÊ= .006), and word reading (R2Ê= .006Ð.008,ÊpÊ= .010Ð.032) were associated with higher anxiety scores. In addition, the word reading _ cognitive interactions were significant such that lower scores on PS (R2Ê= .010,ÊpÊ= .005) or EF (R2Ê= .013,ÊpÊ= .010)ÊcombinedÊwith lower word reading were associated with higher-than-expected anxiety symptoms. Results suggest that weaknesses in PS, EF, and word reading are modestly associated with higher anxiety symptoms, and these anxiety symptoms may be compounded in youth with both PS or EF weaknesses and word reading difficulties. These findings can guide assessment approaches for identifying youth with word reading challenges who may be at increased risk for anxiety.",179,0.0,0.0,44.6927374301676,22.3463687150838,5.58659217877095,1
2,JLD,56,5,2023,Sociodemographic Disparities in Attention-Deficit/Hyperactivity Disorder Overdiagnosis and Overtreatment During Elementary School,Paul Morgan,Non-EXP,"Attention-deficit/hyperactivity disorder (ADHD) overdiagnosis and overtreatment unnecessarily exposes children to potential harm and contributes to provider and community skepticism toward those with moderate or severe symptoms and significant impairments, resulting in less supportive care. Yet, which sociodemographic groups of children are overdiagnosed and overtreated for ADHD is poorly understood. We conducted descriptive and logistic regression analyses of a population-based subsample of 1,070 U.S. elementary schoolchildren who had displayed above-average levels of independently assessed behavioral, academic, or executive functioning the year prior to their initial ADHD diagnoses and who did not have prior diagnostic histories. Among these children, (a) 27% of White children versus 19% of non-White children were later diagnosed with ADHD and (b) 20% of White children versus 14% of non-White children were later using medication. In adjusted analyses, White children are more likely to later be diagnosed (odds ratio [OR] range = 1.70Ð2.62) and using medication (OR range = 1.70Ð2.37) among those whose prior behavioral, academic, and executive functioning suggested that they were unlikely to have ADHD.",175,0.0,0.0,51.42857142857143,5.714285714285714,0.0,0
3,JLD,56,5,2023,"Reading and Math Achievement in Children With Dyslexia, Developmental Language Disorder, or Typical Development: Achievement Gaps Persist From Second Through Fourth Grades",Dawna Duff,EXP,"We examined how children (N = 448) with separate or co-occurring developmental language disorder (DLD) and dyslexia performed on school-based measures of academic functioning between second and fourth grades. Children were recruited from 1 school district in the U.S. state of South Carolina via classroom screenings and met common research criteria for DLD and dyslexia. Growth curve models were used to examine the overall form of growth and differences between groups. Children with DLD and/or dyslexia in second grade showed early and persistent deficits on school-administered measures of reading and math. In second grade, children with typical development (TD) scored significantly higher than children with dyslexia-only and DLD-only, who did not differ from each other. Children with DLD+dyslexia scored significantly lower than all other groups. Only small differences in growth rates were observed, and gaps in second grade did not close. Despite lower academic performance, few children (20%Ð27%) with dyslexia and/or DLD had received specialized support services. Children with DLD-only received services at less than half the rate of dyslexia-only or DLD+dyslexia despite similar impacts on academic performance. Evidence of significant and persistent functional impacts in the context of low rates of support services in these childrenÑespecially those with DLD-onlyÑhighlights the need to raise awareness of these disorders.",216,0.0,0.0,37.03703703703704,13.888888888888888,4.62962962962963,1
4,JLD,56,5,2023,Executive Functions Training for 7- to 10-Year-Old Students With Mathematics Difficulty: Instant Effects and 6-Month Sustained Effects,Dan Cai,EXP,"Executive function (EF) training has shown promise for remedying general EF deficiencies faced by students with mathematics difficulty (MD) and for improving their performance. However, latest research also suggests that the instant and sustained effects of EF training remain inconsistent. In this study, 32 Chinese students with MD, age 7 to 10 years, were recruited and randomly divided into two groups: the training group (nÊ= 16, 25 training sessions) and the control group (nÊ= 16). Both groups took a pretest, a posttest, and a follow-up test (after 6 months) on EF, fluid intelligence, and mathematics skills. In the posttest, the training groupÕs performance significantly improved in 2-back, number shifting, letter shifting, calculation fluency, and mathematics problem-solving tasks, but not in Stroop, Flanker, 1-back, numerical operations, and colored progressive matrices tasks. In the follow-up test after 6 months, the effects of training only on the 2-back and letter shifting tasks were sustained. The effect on the numerical operations task appeared; however, the effects on number shifting, calculation fluency, and mathematics problem-solving tasks disappeared. The results of this study show that EF training has instant effects of improving EF and mathematics skills of students with MD, and 6-month sustained effects on some of the improved skills. However, for fluid intelligence, the effects may be very limited.",222,0.0,0.0,31.531531531531527,9.00900900900901,9.00900900900901,1
5,JLD,56,5,2023,Copy Skills and Writing Abilities in Children With and Without Specific Learning Disabilities,Anna Marie Re,Non-EXP,"Copying a text quickly and accurately is important both in school and in daily life. However, this skill has never been systematically studied, either in children with typical development (TD) or in children with specific learning disabilities (SLD). The aim of this research was to study the features of a copy task and its relationship with other writing tasks. For this purpose, 674 children with TD and 65 children with SLD from Grades 6 through 8 in Italy were tested with a copy task and other writing assessment tasks, measuring three aspects of writing: handwriting speed, spelling, and expressive writing. Children with SLD performed worse on the copy task, both in terms of speed and accuracy, than children with TD. Copy speed was predicted by grade level and by all three major writing skills for children with TD but only by handwriting speed and spelling for children with SLD. Copy accuracy was predicted by gender and the three major writing skills for children with TD but only by spelling for children with SLD. These results suggest that children with SLD also have difficulty copying a text and benefit less than children with TD from their other writing skills.",198,0.0,0.0,30.303030303030305,5.050505050505051,0.0,0
6,JLD,56,4,2023,Examining Interactions Across Instructional Tiers: Do Features of Tier 1 Predict Student Responsiveness to Tier 2 Mathematics Intervention?,Marah Sutherland,EXP,"High-quality Tier 1 instruction is frequently conceptualized as the ÒfoundationÓ for other tiers of intervention within multitiered systems of support (MTSS) models. However, the vast majority of Tier 2 intervention studies do not account for Tier 1 variables when examining intervention effectiveness. The purpose of this study was to examine Tier 1 predictors, or Òquality indicators,Ó of differential responsiveness to Tier 2 mathematics intervention. Data were drawn from a large-scale data set where all teachers taught the Early Learning in Mathematics (Tier 1) core program across the academic year, and a subset of students were selected for the ROOTS (Tier 2) mathematics intervention. We examined the following Tier 1 variables: (a) classroom-level mathematics gains, (b) Tier 1 fidelity of implementation, (c) Tier 1 classroom management and instructional support, and (d) class size. Response to Tier 2 intervention was not significantly predicted by any of the Tier 1 variables examined; however, the pattern of HedgesÕÊgÊeffect sizes suggested that students with higher quality of Tier 1 instruction tended to benefit less from the Tier 2 ROOTS intervention. Results are discussed in the context of implications for research and practice.",191,0.0,0.0,31.413612565445025,15.706806282722512,5.235602094240838,1
7,JLD,56,4,2023,What Skills Could Distinguish Developmental Dyscalculia and Typically Developing Children: Evidence From a 2-Year Longitudinal Screening,Danfeng Li,Non-EXP,"Developmental dyscalculia (DD) is a mathematics learning disorder that affects approximately 5% to 7% of the population. This study aimed to detect the underlying domain-specific and domain-general differences between DD and typically developing (TD) children. We recruited 9-year-old primary school children to form the DD group via a 2-year longitudinal screening process. In total, 75 DD children were screened from 1,657 children after the one-time screening, and 13 DD children were screened from 1,317 children through a consecutive 2-year longitudinal screening. In total, 13 experimental tasks were administered to assess their cognitive abilities to test the domain-specific magnitude representation hypothesis (including symbolic and nonsymbolic magnitude comparisons) and four alternative domain-general hypotheses (including working memory, executive function, attention, and visuospatial processing). The DD group had worse performance than the TD group on the number sense task, finger sense task, shifting task, and one-back task after both one-time and two-time screening. Logistic regressions further indicated the differences on the shifting task and the nonsymbolic magnitude comparison task could distinguish DD and TD children. Our findings suggest that domain-specific nonsymbolic magnitude representation and domain-general executive function both contribute to DD. Thus, both domain-specific and domain-general abilities will be necessary to investigate and to intervene in DD groups in the future.",223,0.0,0.0,49.327354260089685,4.484304932735426,4.484304932735426,0
8,JLD,56,4,2023,Severe Pandemic Learning Loss and the Promise of Remotely Delivered Intervention in Students With Comorbid Reading and Mathematics Learning Difficulty,Lynn Fuchs,EXP,"Analyses were conducted with second graders, drawn from an ongoing multi-cohort randomized controlled trial (RCT), who had been identified for RCT entry based on comorbid reading comprehension and word-problem solving difficulty. To estimate pandemic learning loss, we contrasted fall performance for 3 cohorts: fall of 2019 (pre-pandemic;ÊnÊ= 47), 2020 (early pandemic, when performance was affected by the truncated preceding school year;ÊnÊ= 35), and 2021 (later pandemic, when performance was affected by the truncated 2019 to 2020 school year plus the subsequent yearÕs ongoing interruptions;ÊnÊ= 75). Across the 2 years, declines (standard deviations below expected growth) were approximately 3 times larger than those reported for the general population and for students in high-poverty schools. To estimate the promise of structured remote intervention for addressing such learning loss during extended school closures, we contrasted effects in the RCTÕs 2018 to 2019 cohort (entirely in-person intervention delivery;ÊnÊ= 66) against the same interventionÕs effects in the 2020 to 2021 cohort (alternating periods of remote and in-person delivery;ÊnÊ= 29). Large intervention effects were not moderated by pandemic status, suggesting potential for structured remote intervention to address student needs during extended school closures.",193,0.0,0.0,51.81347150259067,10.362694300518134,10.362694300518134,1
9,JLD,56,4,2023,A Neuropsychological Profile of Developmental Dyscalculia: The Role of Comorbidity,Chiara Luoni,Non-EXP,"Developmental dyscalculia (DD) has long been thought to be determined by multiple components. Dyscalculia has high comorbidity with other learning and developmental disabilities, including reading and writing disorders, attention deficits, and problems in visual/spatial skills, short memory, and working memory. This study aims to assess prevalence rates for isolated as well as comorbid DD in a sample of Italian-speaking children. In addition, we studied the neuropsychological profile of children with isolated or combined dyscalculia. We tested 380 children (176 males and 204 females) between the ages of 8.17 and 9.33 years using an extensive battery to determine the neuropsychological profile. The assessment included an arithmetic battery and nonverbal intelligence, short-term memory, reading, and writing tests. The results indicated that children with DD more frequently have a reading disorder and writing disorder. They also have a lower nonverbal intelligence quotient (IQ) and obtain significantly lower scores in short-term memory tests and on a visuospatial skills questionnaire. They also had significantly higher scores (indicative of greater attentional difficulties) on the Conners subscale for attentional problems. Children with DD present different cognitive and neuropsychological profiles.",186,0.0,0.0,80.64516129032258,5.376344086021506,0.0,0
10,JLD,56,3,2023,Special and General Education TeachersÕ Beliefs About Writing and Writing Instruction,Steve Graham,Non-EXP,"Seventy-six general education and 67 special education teachers working in the same 66 elementary schools were surveyed about their beliefs about writing. Each teacher taught writing to one or more fourth-grade students receiving special education services, including students with learning disabilities. Survey findings indicated that general education teachers believed that they were better prepared to teach writing than special education teachers, and they were more positive about their own efforts to learn to teach writing. General education teachers also held more positive attitudes about teaching writing and their own capabilities as a writer than their special education counterparts. Furthermore, general educators were more likely than special educators to indicate that writing developed through effort and process, and less likely to think that writing knowledge came from experts. Beliefs about adequacy of preparation to teach writing predicted teachersÕ beliefs about their level of knowledge to teach writing, efficacy to overcome studentsÕ writing difficulties, and attitudes toward teaching writing. Recommendations for future research and implications for practice are presented.",169,0.0,0.0,76.92307692307693,29.585798816568047,5.9171597633136095,0
